Company,EIN
Menlowe Ballet,452461068
East Coast Contemporary Ballet,834702183
New Chamber Ballet,822750241
Lemon Sponge Cake Contemporary Ballet,522444709
Providence Ballet Theatre,050513793
ChamberDance,943291532
Catskill Ballet Theatre,222354624
Golden State Ballet,870841342
New Orleans Ballet Theatre,030498652
Ballet Theatre Company,061537525
Magnum Opus Ballet,820931332
Arch Ballet,832034220
PDX Contemporary Ballet,383980587
Ballet Next,453508749
Deos Contemporary Ballet,881773617
ballet22,881045747
Fargo Moorhead Ballet,911768520
Complexions Contemporary Ballet,831570722
Montgomery Ballet,636056687
Dayton Ballet* (Dayton Performing Arts Alliance),316000101
Asheville Ballet,561121833
